emoji,Meaning
™,إشارة علامة تجارية
🚋,سيارة الترام
🚊,نوع من القطارات
🚩,علم مثلث
📐,مسطرة مثلثة
🔱,رمح ثلاثي الشعب
🚎,الترولي أوتبيس كهربائي
🏆,كأس
🍹,الشراب الاستوائي
🐠,أسماك إستوائية
🎺,بوق
🌷,الخزامي نبات
🥃,زجاج بهلوان
🦃,ديك رومي
🐢,سلحفاة
🕧,الساعة الثانية عشر و النصف
🕛,الساعة الثانية عشر
🕝,الساعة الثانية و النصف
💕,قلبين
👬,رجلان يدا بيد
🕑,الساعة الثانية
👭,امرأتان يدا بيد
☂,مظلة
⛱,مظلة على الأرض
☔,مظلة مع قطرات المطر
😒,مستاء
🦄,وجه يونيكورن
🔓,فتح
↕,السهم لأعلى
↖,السهم العلوي الأيسر
↗,السهم العلوي الأيمن
⬆,سهم أعلى
🙃,وجهًا مقلوبًا
🔼,السهم يصل صغير
🧛,رعب
🧛🏿,مصاص دماء لون البشرة الداكن
🧛🏻,مصاص الدماء لون البشرة فاتح
🧛🏾,مصاص دماء لون البشرة متوسط داكن
🧛🏼,مصاص دماء لون البشرة متوسط فاتح
🧛🏽,مصاص دماء لون البشرة متوسط
🚦,ضوء المرور العمودي
📳,وضع الاهتزاز
✌,يد النصر لون البشرة اصفر 
✌🏿,يد النصر لون البشرة الداكنة
✌🏻,يد النصر لون البشرة فاتح
✌🏾,يد النصر لون البشرة متوسط داكن
✌🏼,يد النصر لون البشرة متوسط فاتح
✌🏽,يد النصر لون البشرة متوسط
📹,كاميرا فيديو
🎮,لعبة فيديو
📼,اتش اس
🎻,كمان
🌋,بركان
🏐,الكرة الطائرة
🖖,تحية فولكان 
🖖🏿,تحية فولكان لون البشرة الداكن
🖖🏻,تحية فولكان لون البشرة فاتح
🖖🏾,تحية فولكان لون البشرة متوسط داكن
🖖🏼,تحية فولكان لون البشرة متوسط فاتح
🖖🏽,تحية فولكان لون البشرة متوسط
🌘,تراجع هلال القمر
🌖,تراجع القمر القطبي
⚠,تحذير
🗑,سلة النفايات
⌚,راقب
🐃,جاموس الماء
🚾,مرحاض
🌊,محيط
🍉,البطيخ
👋,التلويح باليد
👋🏿,التلويح باليد لون البشرة الداكن
👋🏻,التلويح باليد لون البشرة فاتح
👋🏾,التلويح باليد لون البشرة متوسط داكن
👋🏼,التلويح باليد لون البشرة متوسط فاتح
👋🏽,التلويح باليد لون البشرة متوسط
〰,مائج داش
🌒,هلال الصبح القمر
🌔,القمر
🙀,صراخ القط
😩,المرهق
💒,حفل زواج
☸,عجلة دارما
♿,كرسي متحرك
⚪,دائرة بيضاء
❕,علامة تعجب رمادية
🏳,يلوحون بالعلم الأبيض
💮,زهرة بيضاء
✅,علامة الاختيار البيضاء
⬜,مربع أبيض كبير
◽,أبيض مربع صغير متوسط
◻,مربع أبيض متوسط
⭐,نجمة
❔,سؤال رمادي
▫,مربع صغير أبيض
🔳,زر أبيض مربع
🥀,زهرة ذابلة
🎐,ريح الرنين
🌬,وجه الرياح تهب
🍷,كأس نبيذ
😉,غمزة
😜,اللسان الى الخارج وعين تغمز
🐺,الذئب
👩,النساء
👩‍🎨,رسامة
👩🏿‍🎨,رسامة لون البشرة الداكن
👩🏻‍🎨,رسامة لون البشرة فاتح
👩🏾‍🎨,رسامة لون البشرة متوسط داكن
👩🏼‍🎨,رسامة لون البشرة متوسط فاتح
👩🏽‍🎨,رسامة لون البشرة متوسط
👩‍🚀,امرأة فضاء
👩🏿‍🚀,امرأة فضاء لون البشرة الداكن
👩🏻‍🚀,امرأة فضاء لون البشرة فاتح
👩🏾‍🚀,امرأة فضاء لون البشرة متوسط داكن
👩🏼‍🚀,امرأة فضاء لون البشرة متوسط فاتح
👩🏽‍🚀,امرأة فضاء لون البشرة متوسط
🚴‍♀️,راكبة دراجة
🚴🏿‍♀️,راكبة دراجة لون البشرة الداكن
🚴🏻‍♀️,راكبة دراجة لون البشرة فاتح
🚴🏾‍♀️,راكبة دراجة لون البشرة متوسط داكن
🚴🏼‍♀️,راكبة دراجة لون البشرة متوسط فاتح
🚴🏽‍♀️,راكبة دراجة لون البشرة متوسط
⛹️‍♀️,سيدة وكرة
⛹🏿‍♀️,سيدة وكرة لون البشرة الداكن
⛹🏻‍♀️,سيدة وكرة لون البشرة فاتح
⛹🏾‍♀️,سيدة وكرة لون البشرة متوسط داكن
⛹🏼‍♀️,سيدة وكرة لون البشرة متوسط فاتح
⛹🏽‍♀️,سيدة وكرة لون البشرة متوسط
🙇‍♀️,سيدة تنحني اعتذارا
🙇🏿‍♀️,سيدة تنحني اعتذارا لون البشرة الداكن
🙇🏻‍♀️,سيدة تنحني اعتذارا لون البشرة فاتح
🙇🏾‍♀️,سيدة تنحني اعتذارا لون البشرة متوسط داكن
🙇🏼‍♀️,سيدة تنحني اعتذارا لون البشرة متوسط فاتح
🙇🏽‍♀️,سيدة تنحني اعتذارا لون البشرة متوسط
🤸‍♀️,سيدة تفعل حركة العجلة
🤸🏿‍♀️,سيدة تفعل حركة العجلة لون البشرة الداكن
🤸🏻‍♀️,سيدة تفعل حركة العجلة لون البشرة فاتح
🤸🏾‍♀️,سيدة تفعل حركة العجلة لون البشرة متوسط داكن
🤸🏼‍♀️,سيدة تفعل حركة العجلة لون البشرة متوسط فاتح
🤸🏽‍♀️,سيدة تفعل حركة العجلة لون البشرة متوسط
🧗‍♀️,امرأة تتسلق
🧗🏿‍♀️,امرأة تتسلق لون البشرة الداكن
🧗🏻‍♀️,امرأة تتسلق لون البشرة فاتح
🧗🏾‍♀️,امرأة تتسلق لون البشرة متوسط داكن
🧗🏼‍♀️,امرأة تتسلق لون البشرة متوسط فاتح
🧗🏽‍♀️,امرأة تتسلق لون البشرة متوسط
👷‍♀️,عاملة بناء 
👷🏿‍♀️,عاملة بناء لون البشرة الداكن
👷🏻‍♀️,عاملة بناء لون البشرة فاتح
👷🏾‍♀️,عاملة بناء لون البشرة متوسط داكن
👷🏼‍♀️,عاملة بناء  لون البشرة متوسط فاتح
👷🏽‍♀️,عاملة بناء لون البشرة متوسط
👩‍🍳,طباخة
👩🏿‍🍳,طباخة لون البشرة الداكن
👩🏻‍🍳,طباخة لون البشرة فاتح
👩🏾‍🍳,طباخة لون البشرة متوسط داكن
👩🏼‍🍳,طباخة لون البشرة متوسط فاتح
👩🏽‍🍳,طباخة لون البشرة متوسط
💃,راقصة
💃🏿,راقصة لون البشرة الداكن
💃🏻,راقصة لون البشرة فاتح
💃🏾,راقصة لون البشرة متوسط داكن
💃🏼,راقصة لون البشرة متوسط فاتح
💃🏽,راقصة لون البشرة متوسط
👩🏿,امرأة  لون البشرة الداكن
🕵️‍♀️,محققة
🕵🏿‍♀️,محققة لون البشرة الداكن
🕵🏻‍♀️,محققة لون البشرة فاتح
🕵🏾‍♀️,محققة لون البشرة متوسط داكن
🕵🏼‍♀️,محققة لون البشرة متوسط فاتح
🕵🏽‍♀️,محققة لون البشرة متوسط
🧝‍♀️,جنية صغيرة
🧝🏿‍♀️,جنية صغيرة لون البشرة الداكن
🧝🏻‍♀️,جنية صغيرة لون البشرة فاتح
🧝🏾‍♀️,جنية صغيرة لون البشرة متوسط داكن
🧝🏼‍♀️,جنية صغيرة لون البشرة متوسط فاتح
🧝🏽‍♀️,جنية صغيرة لون البشرة متوسط
🤦‍♀️,سيدة تشعر بإحباط
🤦🏿‍♀️,سيدة تشعر بإحباط لون البشرة الداكن
🤦🏻‍♀️,سيدة تشعر بإحباط لون البشرة فاتح
🤦🏾‍♀️,سيدة تشعر بإحباط لون البشرة متوسط داكن
🤦🏼‍♀️,سيدة تشعر بإحباط لون البشرة متوسط فاتح
🤦🏽‍♀️,سيدة تشعر بإحباط لون البشرة متوسط
👩‍🏭,عاملة مصنع
👩🏿‍🏭,عاملة مصنع لون البشرة الداكن
👩🏻‍🏭,عاملة مصنع لون البشرة فاتح
👩🏾‍🏭,عاملة مصنع لون البشرة متوسط داكن
👩🏼‍🏭,عاملة مصنع لون البشرة متوسط فاتح
👩🏽‍🏭,عاملة مصنع لون البشرة متوسط
🧚‍♀️,امرأة جنية
🧚🏿‍♀️,امرأة جنية لون البشرة الداكن
🧚🏻‍♀️,امرأة جنية لون البشرة فاتح
🧚🏾‍♀️,امرأة جنية لون البشرة متوسط داكن
🧚🏼‍♀️,امرأة جنية لون البشرة متوسط فاتح
🧚🏽‍♀️,امرأة جنية لون البشرة متوسط
👩‍🌾,مزارعة
👩🏿‍🌾,مزارعة لون البشرة الداكن
👩🏻‍🌾,مزارعة لون البشرة فاتح
👩🏾‍🌾,مزارعة لون البشرة متوسط داكن
👩🏼‍🌾,مزارعة لون البشرة متوسط فاتح
👩🏽‍🌾,مزارعة لون البشرة متوسط
👩‍🚒,امرأة اطفاء
👩🏿‍🚒,امرأة اطفاء لون البشرة الداكن
👩🏻‍🚒,امرأة اطفاء لون البشرة فاتح
👩🏾‍🚒,امرأة اطفاء لون البشرة متوسط داكن
👩🏼‍🚒,امرأة اطفاء لون البشرة متوسط فاتح
👩🏽‍🚒,امرأة اطفاء لون البشرة متوسط
🙍‍♀️,امرأة عبوس
🙍🏿‍♀️,امرأة عبوس لون البشرة الداكن
🙍🏻‍♀️,امرأة عبوس لون البشرة فاتح
🙍🏾‍♀️,امرأة عبوس لون البشرة متوسط داكن
🙍🏼‍♀️,امرأة عبوس لون البشرة متوسط فاتح
🙍🏽‍♀️,امرأة عبوس لون البشرة متوسط
🧞‍♀️,ماردة
🙅‍♀️,غير موافقة
🙅🏿‍♀️,غير موافقة لون البشرة الداكن
🙅🏻‍♀️,غير موافقة لون البشرة فاتح
🙅🏾‍♀️,غير موافقة لون البشرة متوسط داكن
🙅🏼‍♀️,غير موافقة لون البشرة متوسط فاتح
🙅🏽‍♀️,غير موافقة لون البشرة متوسط
🙆‍♀️,موافقة
🙆🏿‍♀️,موافقة لون البشرة الداكن
🙆🏻‍♀️,موافقة لون البشرة فاتح
🙆🏾‍♀️,موافقة لون البشرة متوسط داكن
🙆🏼‍♀️,موافقة لون البشرة متوسط فاتح
🙆🏽‍♀️,موافقة لون البشرة متوسط
💇‍♀️,تقص شعرها
💇🏿‍♀️,تقص شعرها لون البشرة الداكن
💇🏻‍♀️,تقص شعرها لون البشرة فاتح
💇🏾‍♀️,تقص شعرها لون البشرة متوسط داكن
💇🏼‍♀️,تقص شعرها لون البشرة متوسط فاتح
💇🏽‍♀️,تقص شعرها لون البشرة متوسط
💆‍♀️,امرأة تحصل على تدليك
💆🏿‍♀️,امرأة تحصل على تدليك لون البشرة الداكن
💆🏻‍♀️,امرأة تحصل على تدليك لون البشرة فاتح
💆🏾‍♀️,امرأة تحصل على تدليك لون البشرة متوسط داكن
💆🏼‍♀️,امرأة تحصل على تدليك لون البشرة متوسط فاتح
💆🏽‍♀️,امرأة تحصل على تدليك لون البشرة متوسط
🏌️‍♀️,لاعبة غولف
🏌🏿‍♀️,لاعبة غولف لون البشرة الداكن
🏌🏻‍♀️,لاعبة غولف لون البشرة فاتح
🏌🏾‍♀️,لاعبة غولف لون البشرة متوسط داكن
🏌🏼‍♀️,لاعبة غولف لون البشرة متوسط فاتح
🏌🏽‍♀️,لاعبة غولف لون البشرة متوسط
💂‍♀️,حارسة
💂🏿‍♀️,حارسة لون البشرة الداكن
💂🏻‍♀️,حارسة لون البشرة فاتح
💂🏾‍♀️,حارسة لون البشرة متوسط داكن
💂🏼‍♀️,حارسة لون البشرة متوسط فاتح
💂🏽‍♀️,حارسة لون البشرة متوسط
👩‍⚕️,عاملة بقطاع الصحة
👩🏿‍⚕️,عاملة بقطاع الصحة لون البشرة الداكن
👩🏻‍⚕️,عاملة بقطاع الصحة لون البشرة فاتح
👩🏾‍⚕️,عاملة بقطاع الصحة لون البشرة متوسط داكن
👩🏼‍⚕️,عاملة بقطاع الصحة لون البشرة متوسط فاتح
👩🏽‍⚕️,عاملة بقطاع الصحة لون البشرة متوسط
🧘‍♀️,امرأة في وضع اللوتس للتأمل 
🧘🏿‍♀️,امرأة في وضع اللوتس للتأمل لون البشرة الداكن
🧘🏻‍♀️,امرأة في وضع اللوتس للتأمل لون البشرة فاتح
🧘🏾‍♀️,امرأة في وضع اللوتس للتأمل لون البشرة متوسط داكن
🧘🏼‍♀️,امرأة في وضع اللوتس للتأمل لون البشرة متوسط فاتح
🧘🏽‍♀️,امرأة في وضع اللوتس للتأمل لون البشرة متوسط
🧖‍♀️,امرأة في حمام بخار
🧖🏿‍♀️,امرأة في حمام بخار لون البشرة الداكن
🧖🏻‍♀️,امرأة في حمام بخار لون البشرة فاتح
🧖🏾‍♀️,امرأة في حمام بخار لون البشرة متوسط داكن
🧖🏼‍♀️,امرأة في حمام بخار لون البشرة متوسط فاتح
🧖🏽‍♀️,امرأة في حمام بخار لون البشرة متوسط
👩‍⚖️,قاضية
👩🏿‍⚖️,قاضية لون البشرة الداكن
👩🏻‍⚖️,قاضية لون البشرة فاتح
👩🏾‍⚖️,قاضية لون البشرة متوسط داكن
👩🏼‍⚖️,قاضية لون البشرة متوسط فاتح
👩🏽‍⚖️,قاضية لون البشرة متوسط
🤹‍♀️,لاعبة قذف كرات
🤹🏿‍♀️,لاعبة قذف كرات لون البشرة الداكن
🤹🏻‍♀️,لاعبة قذف كرات لون البشرة فاتح
🤹🏾‍♀️,لاعبة قذف كرات لون البشرة متوسط داكن
🤹🏼‍♀️,لاعبة قذف كرات لون البشرة متوسط فاتح
🤹🏽‍♀️,لاعبة قذف كرات لون البشرة متوسط
🏋️‍♀️,رافعة أثقال
🏋🏿‍♀️,رافعة أثقال لون البشرة الداكن
🏋🏻‍♀️,رافعة أثقال لون البشرة فاتح
🏋🏾‍♀️,رافعة أثقال لون البشرة متوسط داكن
🏋🏼‍♀️,رافعة أثقال لون البشرة متوسط فاتح
🏋🏽‍♀️,رافعة أثقال لون البشرة متوسط
👩🏻,المرأة لون البشرة فاتح
🧙‍♀️,ساحرة
🧙🏿‍♀️,ساحرة لون البشرة الداكن
🧙🏻‍♀️,ساحرة لون البشرة فاتح
🧙🏾‍♀️,ساحرة لون البشرة متوسط داكن
🧙🏼‍♀️,ساحرة لون البشرة متوسط فاتح
🧙🏽‍♀️,ساحرة لون البشرة متوسط
👩‍🔧,ميكانيكية
👩🏿‍🔧,ميكانيكية لون البشرة الداكن
👩🏻‍🔧,ميكانيكية لون البشرة فاتح
👩🏾‍🔧,ميكانيكية لون البشرة متوسط داكن
👩🏼‍🔧,ميكانيكية لون البشرة متوسط فاتح
👩🏽‍🔧,ميكانيكية لون البشرة متوسط
👩🏾,امرأة لون البشرة متوسط داكن
👩🏼,امرأة لون البشرة متوسط فاتح
👩🏽,امرأة لون البشرة متوسط 
🚵‍♀️,متسلقة جبال بدراجة
🚵🏿‍♀️,متسلقة جبال بدراجة لون البشرة الداكن
🚵🏻‍♀️,متسلقة جبال بدراجة لون البشرة فاتح
🚵🏾‍♀️,متسلقة جبال بدراجة لون البشرة متوسط داكن
🚵🏼‍♀️,متسلقة جبال بدراجة لون البشرة متوسط فاتح
🚵🏽‍♀️,متسلقة جبال بدراجة لون البشرة متوسط
👩‍💼,موظفة
👩🏿‍💼,موظفة لون البشرة الداكن
👩🏻‍💼,موظفة لون البشرة فاتح
👩🏾‍💼,موظفة لون البشرة متوسط داكن
👩🏼‍💼,موظفة لون البشرة متوسط فاتح
👩🏽‍💼,موظفة لون البشرة متوسط
👩‍✈️,ربانة طائرة
👩🏿‍✈️,ربانة طائرة لون البشرة الداكن
👩🏻‍✈️,ربانة طائرة لون البشرة فاتح
👩🏾‍✈️,ربانة طائرة لون البشرة متوسط داكن
👩🏼‍✈️,ربانة طائرة لون البشرة متوسط فاتح
👩🏽‍✈️,ربانة طائرة لون البشرة متوسط
🤾‍♀️,لاعبة كرة يد
🤾🏿‍♀️,لاعبة كرة يد لون البشرة الداكن
🤾🏻‍♀️,لاعبة كرة يد لون البشرة فاتح
🤾🏾‍♀️,لاعبة كرة يد لون البشرة متوسط داكن
🤾🏼‍♀️,لاعبة كرة يد لون البشرة متوسط فاتح
🤾🏽‍♀️,لاعبة كرة يد لون البشرة متوسط
🤽‍♀️,لاعبة كرة ماء
🤽🏿‍♀️,لاعبة كرة ماء لون البشرة الداكن
🤽🏻‍♀️,لاعبة كرة ماء لون البشرة فاتح
🤽🏾‍♀️,لاعبة كرة ماء لون البشرة متوسط داكن
🤽🏼‍♀️,لاعبة كرة ماء لون البشرة متوسط فاتح
🤽🏽‍♀️,لاعبة كرة ماء لون البشرة متوسط
👮‍♀️,شرطية
👮🏿‍♀️,شرطية لون البشرة الداكن
👮🏻‍♀️,شرطية لون البشرة فاتح
👮🏾‍♀️,شرطية لون البشرة متوسط داكن
👮🏼‍♀️,شرطية لون البشرة متوسط فاتح
👮🏽‍♀️,شرطية لون البشرة متوسط
🙎‍♀️,امرأة مستاءه
🙎🏿‍♀️,امرأة مستاءه لون البشرة الداكن
🙎🏻‍♀️,امرأة مستاءه لون البشرة فاتح
🙎🏾‍♀️,امرأة مستاءه لون البشرة متوسط داكن
🙎🏼‍♀️,امرأة مستاءه لون البشرة متوسط فاتح
🙎🏽‍♀️,امرأة مستاءه لون البشرة متوسط
🙋‍♀️,رفع يد المرأة
🙋🏿‍♀️,رفع يد المرأة لون البشرة الداكن
🙋🏻‍♀️,رفع يد المرأة لون البشرة فاتح
🙋🏾‍♀️,رفع يد المرأة لون البشرة متوسط داكن
🙋🏼‍♀️,رفع يد المرأة لون البشرة متوسط فاتح
🙋🏽‍♀️,رفع يد المرأة لون البشرة متوسط
🚣‍♀️,امرأة تجدف بقارب
🚣🏿‍♀️,امرأة تجدف بقارب لون البشرة الداكن
🚣🏻‍♀️,امرأة تجدف بقارب لون البشرة فاتح
🚣🏾‍♀️,امرأة تجدف بقارب لون البشرة متوسط داكن
🚣🏼‍♀️,امرأة تجدف بقارب لون البشرة متوسط فاتح
🚣🏽‍♀️,امرأة تجدف بقارب لون البشرة متوسط
🏃‍♀️,راكضة
🏃🏿‍♀️,راكضة لون البشرة الداكن
🏃🏻‍♀️,راكضة لون البشرة فاتح
🏃🏾‍♀️,راكضة لون البشرة متوسط داكن
🏃🏼‍♀️,راكضة لون البشرة متوسط فاتح
🏃🏽‍♀️,راكضة لون البشرة متوسط
👩‍🔬,عالمة
👩🏿‍🔬,عالمة لون البشرة الداكن
👩🏻‍🔬,عالمة لون البشرة فاتح
👩🏾‍🔬,عالمة لون البشرة متوسط داكن
👩🏼‍🔬,عالمة لون البشرة متوسط فاتح
👩🏽‍🔬,عالمة لون البشرة متوسط
🤷‍♀️,سيدة لا تبالي
🤷🏿‍♀️,سيدة لا تبالي لون البشرة الداكن
🤷🏻‍♀️,سيدة لا تبالي لون البشرة فاتح
🤷🏾‍♀️,سيدة لا تبالي لون البشرة متوسط داكن
🤷🏼‍♀️,سيدة لا تبالي لون البشرة متوسط فاتح
🤷🏽‍♀️,سيدة لا تبالي لون البشرة متوسط
👩‍🎤,امرأة مغنية
👩🏿‍🎤,امرأة مغنية لون البشرة الداكن
👩🏻‍🎤,امرأة مغنية لون البشرة فاتح
👩🏾‍🎤,امرأة مغنية لون البشرة متوسط داكن
👩🏼‍🎤,امرأة مغنية لون البشرة متوسط فاتح
👩🏽‍🎤,امرأة مغنية لون البشرة متوسط
👩‍🎓,طالبة متخرجة
👩🏿‍🎓,طالبة متخرجة لون البشرة الداكن
👩🏻‍🎓,طالبة متخرجة لون البشرة فاتح
👩🏾‍🎓,طالبة متخرجة لون البشرة متوسط داكن
👩🏼‍🎓,طالبة متخرجة لون البشرة متوسط فاتح
👩🏽‍🎓,طالبة متخرجة لون البشرة متوسط
🏄‍♀️,راكبة أمواج
🏄🏿‍♀️,راكبة أمواج لون البشرة الداكن
🏄🏻‍♀️,راكبة أمواج لون البشرة فاتح
🏄🏾‍♀️,راكبة أمواج لون البشرة متوسط داكن
🏄🏼‍♀️,راكبة أمواج لون البشرة متوسط فاتح
🏄🏽‍♀️,راكبة أمواج لون البشرة متوسط
🏊‍♀️,سباحة
🏊🏿‍♀️,سباحة لون البشرة الداكن
🏊🏻‍♀️,سباحة لون البشرة فاتح
🏊🏾‍♀️,سباحة لون البشرة متوسط داكن
🏊🏼‍♀️,سباحة لون البشرة متوسط فاتح
🏊🏽‍♀️,سباحة لون البشرة متوسط
👩‍🏫,معلمة
👩🏿‍🏫,معلمة لون البشرة الداكن
👩🏻‍🏫,معلمة لون البشرة فاتح
👩🏾‍🏫,معلمة لون البشرة متوسط داكن
👩🏼‍🏫,معلمة لون البشرة متوسط فاتح
👩🏽‍🏫,معلمة لون البشرة متوسط
👩‍💻,عالمة تكنولوجيا 
👩🏿‍💻,عالمة تكنولوجيا لون البشرة الداكن
👩🏻‍💻,عالمة تكنولوجيا لون البشرة فاتح
👩🏾‍💻,عالمة تكنولوجيا لون البشرة متوسط داكن
👩🏼‍💻,عالمة تكنولوجيا لون البشرة متوسط فاتح
👩🏽‍💻,عالمة تكنولوجيا لون البشرة متوسط
💁‍♀️,سيدة بيد مائلة
💁🏿‍♀️,سيدة بيد مائلة لون البشرة الداكن
💁🏻‍♀️,سيدة بيد مائلة لون البشرة فاتح
💁🏾‍♀️,سيدة بيد مائلة لون البشرة متوسط داكن
💁🏼‍♀️,سيدة بيد مائلة لون البشرة متوسط فاتح
💁🏽‍♀️,سيدة بيد مائلة لون البشرة متوسط
🧛‍♀️,مصاصة دماء
🧛🏿‍♀️,مصاصة دماء لون البشرة الداكن
🧛🏻‍♀️,مصاصة دماء لون البشرة فاتح
🧛🏾‍♀️,مصاصة دماء لون البشرة متوسط داكن
🧛🏼‍♀️,مصاصة دماء لون البشرة متوسط فاتح
🧛🏽‍♀️,مصاصة دماء لون البشرة متوسط
🚶‍♀️,امرأة تمشي
🚶🏿‍♀️,امرأة تمشي لون البشرة الداكن
🚶🏻‍♀️,امرأة تمشي لون البشرة فاتح
🚶🏾‍♀️,امرأة تمشي لون البشرة متوسط داكن
🚶🏼‍♀️,امرأة تمشي لون البشرة متوسط فاتح
🚶🏽‍♀️,امرأة تمشي لون البشرة متوسط
👳‍♀️,امرأة ترتدي عمامة
👳🏿‍♀️,امرأة ترتدي عمامة لون البشرة الداكن
👳🏻‍♀️,امرأة ترتدي عمامة لون البشرة فاتح
👳🏾‍♀️,امرأة ترتدي عمامة لون البشرة متوسط داكن
👳🏼‍♀️,امرأة ترتدي عمامة لون البشرة متوسط فاتح
👳🏽‍♀️,امرأة ترتدي عمامة لون البشرة متوسط
🧕,امرأة محجبة
🧕🏿,امرأة محجبة لون البشرة الداكن
🧕🏻,امرأة محجبة لون البشرة فاتح
🧕🏾,امرأة محجبة لون البشرة متوسط داكن
🧕🏼,امرأة محجبة لون البشرة متوسط فاتح
🧕🏽,امرأة محجبة لون البشرة متوسط
🧟‍♀️,امرأة زومبي
👢,حذاء
👚,الملابس النسائية
👒,قبعة نسائية
👡,صندل
👯‍♀️,النساء مع آذان الارنب
🤼‍♀️,مصارعة النساء
🚺,للنساء
🗺,خريطة العالم
😟,قلق
🎁,هدية 
🔧,مفتاح ربط
✍,يد تكتب
✍🏿,يد تكتب لون البشرة الداكن
✍🏻,يد تكتب لون البشرة فاتح
✍🏾,يد تكتب لون البشرة متوسط داكن
✍🏼,يد تكتب لون البشرة متوسط فاتح
✍🏽,يد تكتب لون البشرة متوسط
💛,قلب أصفر
💴,الين
☯,يين يانغ
🤪,وجه مجنون
🦓,الحمار الوحشي
🤐,وجه بفم مقفول
🧟,زومبي
💤,نعسان
🇦🇽,العلم لجزر آلاند
📅,تقويم
🐈,قطة
🐄,بقرة
🕶,النظارات الشمسية الداكنة
🐕,كلب
🐪,جمل
🏻,بشرة بلون فاتح
🏼,بشرة بلون فاتح معتدل 
🏽,بشرة بلون معتدل 
🏾,بشرة بلون معتدل مائل للغامق
🏿,بشرة بلون غامق
🏤,مكتب بريد
⎈,هيلم سيمبول
🐎,حصان
*⃣ ,النجمة
8⃣,عدد ثمانية
5⃣,عدد خمسة
4⃣,أرقام أربعة
9⃣,رقم تسعة
1⃣ ,رقم واحد
7⃣,عدد سبعة
6⃣,رقم ستة
3⃣,عدد ثلاثة
2⃣,عدد اثنين
0⃣,رقم صفر
#⃣,علامة الرقم
💏,قبلة زوجين
🐁,فأر
✏,قلم
🐖,خنزير
🐇,أرنب
🐅,نمر
🚆,قطار
SA,علم السعودية
🐋,حوت أزرق
